case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
3000,nan,1,1,50,0,1,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.124,2025-09-09 19:39:58
5106,nan,1,2,50,0,0,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.177,2025-09-09 19:39:59
6739,nan,1,3,0,0,2,0,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-09 19:39:59
6924,nan,1,3,0,1,1,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.171,2025-09-09 19:39:59
7347,nan,1,3,50,0,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.19,2025-09-09 19:39:59
7548,nan,1,3,50,1,0,0,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.173,2025-09-09 19:39:59
7975,nan,1,3,50,2,2,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.168,2025-09-09 19:39:59
8146,nan,1,3,100,0,1,1,2,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.177,2025-09-09 19:40:00
9520,nan,1,4,50,0,0,1,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.202,2025-09-09 19:40:00
9922,nan,1,4,50,1,2,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.174,2025-09-09 19:40:00
10023,nan,1,4,50,2,0,2,0,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.17,2025-09-09 19:40:00
10068,nan,1,4,50,2,1,0,2,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.171,2025-09-09 19:40:00
10282,nan,1,4,100,0,0,2,2,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.178,2025-09-09 19:40:01
10509,nan,1,4,100,1,0,2,0,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.165,2025-09-09 19:40:01
11108,nan,1,5,0,0,2,0,1,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.171,2025-09-09 19:40:01
11309,nan,1,5,0,1,1,1,2,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.169,2025-09-09 19:40:01
11460,nan,1,5,0,2,0,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.178,2025-09-09 19:40:01
12960,nan,1,5,100,2,0,2,2,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.167,2025-09-09 19:40:01
13191,nan,1,6,0,0,0,2,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-09 19:40:02
13602,nan,1,6,0,1,2,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-09 19:40:02
14453,nan,1,6,50,2,1,1,0,2,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.176,2025-09-09 19:40:02
14934,nan,1,6,100,1,1,1,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.169,2025-09-09 19:40:02
15192,nan,1,6,100,2,1,1,1,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-09 19:40:02
15583,nan,1,7,0,1,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-09 19:40:03
16100,nan,1,7,50,0,0,2,0,2,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.162,2025-09-09 19:40:03
16418,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.158,2025-09-09 19:40:03
16485,nan,1,7,50,1,2,1,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.172,2025-09-09 19:40:03
16555,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.168,2025-09-09 19:40:03
