case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
1,,1,5,0,0,0,0,0,0,0,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 36 33 33 33 3E 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 02 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 33 33 33 33 33 33 6A 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 0}",2.32,2025-08-28 19:53:09
2,,1,5,0,0,0,0,0,0,1,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 33 35 33 33 33 33 33 33 33 33 33 33 33 33 33 A9 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 35 33 33 33 33 33 9B 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 1}",2.366,2025-08-28 19:53:12
3,,1,5,0,0,0,0,0,0,2,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 33 37 33 33 33 33 33 33 33 33 33 33 33 33 33 2C 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 37 33 33 33 33 33 3F 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 2}",2.315,2025-08-28 19:53:14
4,,1,5,0,0,0,0,0,1,0,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 B3 33 33 33 33 33 33 33 33 33 33 33 33 33 33 C0 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 33 33 33 33 33 33 43 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 0}",2.311,2025-08-28 19:53:16
5,,1,5,0,0,0,0,0,1,1,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 B3 35 33 33 33 33 33 33 33 33 33 33 33 33 33 DA 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 35 33 33 33 33 33 B2 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 1}",2.391,2025-08-28 19:53:19
6,,1,5,0,0,0,0,0,1,2,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 B3 37 33 33 33 33 33 33 33 33 33 33 33 33 33 5F 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 37 33 33 33 33 33 16 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 2}",2.377,2025-08-28 19:53:21
7,,1,5,0,0,0,0,0,2,0,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 3A 33 33 33 3E 33 33 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 69 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 34 33 33 33 33 33 C9 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 2, 'ring': 0}",2.364,2025-08-28 19:53:24
8,,1,5,0,0,0,0,0,2,1,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 33 36 33 33 33 33 33 33 33 33 33 33 33 33 33 42 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 36 33 33 33 33 33 6D 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 2, 'ring': 1}",2.31,2025-08-28 19:53:26
9,,1,5,0,0,0,0,0,2,2,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 33 38 33 33 33 33 33 33 33 33 33 33 33 33 33 22 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 38 33 33 33 33 33 36 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 2, 'ring': 2}",2.306,2025-08-28 19:53:28
10,,1,5,0,0,0,0,1,0,0,,0.0,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 53 33 33 33 33 33 33 33 33 33 33 33 33 33 33 A2 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 53 33 33 33 33 33 33 FD 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 0, 'ring': 0}",2.355,2025-08-28 19:53:31
