case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
3000,nan,1,1,50,0,1,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.125,2025-09-09 19:43:35
5106,nan,1,2,50,0,0,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.175,2025-09-09 19:43:35
6739,nan,1,3,0,0,2,0,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.187,2025-09-09 19:43:35
6924,nan,1,3,0,1,1,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.171,2025-09-09 19:43:35
7347,nan,1,3,50,0,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.174,2025-09-09 19:43:36
7548,nan,1,3,50,1,0,0,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.184,2025-09-09 19:43:36
7975,nan,1,3,50,2,2,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.158,2025-09-09 19:43:36
8146,nan,1,3,100,0,1,1,2,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.161,2025-09-09 19:43:36
9520,nan,1,4,50,0,0,1,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.173,2025-09-09 19:43:36
9922,nan,1,4,50,1,2,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.177,2025-09-09 19:43:36
10023,nan,1,4,50,2,0,2,0,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.173,2025-09-09 19:43:37
10068,nan,1,4,50,2,1,0,2,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.161,2025-09-09 19:43:37
10282,nan,1,4,100,0,0,2,2,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.157,2025-09-09 19:43:37
10509,nan,1,4,100,1,0,2,0,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.162,2025-09-09 19:43:37
11108,nan,1,5,0,0,2,0,1,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.158,2025-09-09 19:43:37
11309,nan,1,5,0,1,1,1,2,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-09 19:43:38
11460,nan,1,5,0,2,0,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.173,2025-09-09 19:43:38
12960,nan,1,5,100,2,0,2,2,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.174,2025-09-09 19:43:38
13191,nan,1,6,0,0,0,2,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.157,2025-09-09 19:43:38
13602,nan,1,6,0,1,2,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.168,2025-09-09 19:43:38
14453,nan,1,6,50,2,1,1,0,2,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.165,2025-09-09 19:43:38
14934,nan,1,6,100,1,1,1,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-09 19:43:39
15192,nan,1,6,100,2,1,1,1,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.159,2025-09-09 19:43:39
15583,nan,1,7,0,1,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.169,2025-09-09 19:43:39
16100,nan,1,7,50,0,0,2,0,2,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.158,2025-09-09 19:43:39
16418,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.159,2025-09-09 19:43:39
16485,nan,1,7,50,1,2,1,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.157,2025-09-09 19:43:39
16555,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.169,2025-09-09 19:43:40
20000,nan,1,7,88,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.17,2025-09-09 19:43:40
