case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
1,基本点亮 + 白LOGO + 左右转向橙,1,7,88,1,1,1,2,2,2,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 36 33 33 33 42 33 33 33 0B 7D 38 33 33 33 33 33 33 33 33 33 33 33 33 33 D3 55,A5 60 9F A5 81 0D 3B 42 33 33 33 0B 7D 38 33 33 33 33 33 CA 55,1,1,PASS,"{'screen_on': 1, 'brightness': 7, 'digital': 88, 'logo': 1, 'rim_state': 1, 'rdygo': 1, 'turn_left': 2, 'turn_right': 2, 'ring': 2}",2.331,2025-09-09 19:50:48
2,关闭显示，校验全部为0（除 brightness）,0,3,0,0,0,0,0,0,0,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 34 33 37 33 37 33 33 33 39 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 2A 55,A5 60 9F A5 81 0D 3B 39 33 33 33 33 33 33 33 33 33 33 33 62 55,1,1,PASS,"{'screen_on': 0, 'brightness': 3, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 0}",2.409,2025-09-09 19:50:50
3,关闭显示，校验全部为0（除 brightness）,1,7,11,1,0,0,0,0,0,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 3B 33 33 33 42 33 33 33 BE 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 FC 55,A5 60 9F A5 81 0D 3B 42 33 33 33 BE 33 33 33 33 33 33 33 C8 55,1,1,PASS,"{'screen_on': 1, 'brightness': 7, 'digital': 11, 'logo': 1, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 0}",2.387,2025-09-09 19:50:53
2302,nan,1,1,0,0,1,1,0,2,0,,2.372,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 36 33 33 33 33 3D 34 33 33 33 33 33 33 33 33 33 33 33 33 33 C8 55,A5 60 9F A5 81 0D 3B 36 33 33 33 33 3D 34 33 33 33 33 33 CA 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 0, 'rim_state': 1, 'rdygo': 1, 'turn_left': 0, 'turn_right': 2, 'ring': 0}",2.411,2025-09-09 19:50:55
2638,nan,1,1,0,1,2,1,2,0,0,,2.282,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 39 33 33 33 36 33 33 33 B3 7F 33 33 33 33 33 33 33 33 33 33 33 33 33 33 47 55,A5 60 9F A5 81 0D 3B 36 33 33 33 B3 7F 33 33 33 33 33 33 1F 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 1, 'rim_state': 2, 'rdygo': 1, 'turn_left': 2, 'turn_right': 0, 'ring': 0}",2.338,2025-09-09 19:51:00
2677,nan,1,1,0,2,0,0,0,1,0,,2.419,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 36 33 33 33 33 B4 33 33 33 33 33 33 33 33 33 33 33 33 33 33 E3 55,A5 60 9F A5 81 0D 3B 36 33 33 33 33 B4 33 33 33 33 33 33 AE 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 2, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 0}",2.335,2025-09-09 19:51:05
3000,nan,1,1,50,0,1,0,0,0,2,,2.264,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 36 33 33 33 65 35 37 33 33 33 33 33 33 33 33 33 33 33 33 33 06 55,A5 60 9F A5 81 0D 3B 36 33 33 33 65 35 37 33 33 33 33 33 1A 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 50, 'logo': 0, 'rim_state': 1, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 2}",2.396,2025-09-09 19:51:10
5106,nan,1,2,50,0,0,0,0,0,2,,2.298,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 38 33 33 33 65 33 37 33 33 33 33 33 33 33 33 33 33 33 33 33 EE 55,A5 60 9F A5 81 0D 3B 38 33 33 33 65 33 37 33 33 33 33 33 8C 55,1,1,PASS,"{'screen_on': 1, 'brightness': 2, 'digital': 50, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 2}",2.363,2025-09-09 19:51:14
6739,nan,1,3,0,0,2,0,1,2,0,,2.19,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 34 33 37 33 38 33 33 33 3A 33 33 33 33 57 34 33 33 33 33 33 33 33 33 33 33 33 33 33 32 55,A5 60 9F A5 81 0D 3B 3A 33 33 33 33 57 34 33 33 33 33 33 92 55,1,1,PASS,"{'screen_on': 1, 'brightness': 3, 'digital': 0, 'logo': 0, 'rim_state': 2, 'rdygo': 0, 'turn_left': 1, 'turn_right': 2, 'ring': 0}",2.418,2025-09-09 19:51:19
6924,nan,1,3,0,1,1,1,1,0,2,,2.216,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3A 33 33 33 B3 5D 37 33 33 33 33 33 33 33 33 33 33 33 33 33 A2 55,A5 60 9F A5 81 0D 3B 3A 33 33 33 B3 5D 37 33 33 33 33 33 2C 55,1,1,PASS,"{'screen_on': 1, 'brightness': 3, 'digital': 0, 'logo': 1, 'rim_state': 1, 'rdygo': 1, 'turn_left': 1, 'turn_right': 0, 'ring': 2}",2.35,2025-09-09 19:51:23
