case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,recv_ok,read_ok,recv_hex,read_hex,verdict,checks,elapsed_s,timestamp
1,基本点亮 + 白LOGO + 左右转向橙,1,7,88,1,1,1,2,2,2,1.0,0.2,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 34 33 37 33 37 33 33 33 42 33 33 33 0B 7D 38 33 33 33 33 33 33 33 33 33 33 33 33 33 47 55,A5 60 9F A5 81 0D 3B 42 33 33 33 0B 7D 38 33 33 33 33 33 CA 55,PASS,"{'screen_on': 1, 'brightness': 7, 'digital': 88, 'logo': 1, 'rim_state': 1, 'rdygo': 1, 'turn_left': 2, 'turn_right': 2, 'ring': 2}",2.011,2025-08-27 16:18:22
2,关闭显示，校验全部为0（除 brightness）,0,3,0,0,0,0,0,0,0,1.0,0.2,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 36 33 33 33 39 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 BE 55,A5 60 9F A5 81 0D 3B 39 33 33 33 33 33 33 33 33 33 33 33 62 55,PASS,"{'screen_on': 0, 'brightness': 3, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 0}",2.018,2025-08-27 16:18:24
3,关闭显示，校验全部为0（除 brightness）,1,7,11,1,0,0,0,0,0,1.0,0.2,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 39 33 33 33 42 33 33 33 BE 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 16 55,A5 60 9F A5 81 0D 3B 42 33 33 33 BE 33 33 33 33 33 33 33 C8 55,PASS,"{'screen_on': 1, 'brightness': 7, 'digital': 11, 'logo': 1, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 0}",2.03,2025-08-27 16:18:26
4,关闭显示，校验全部为0（除 brightness）,1,7,22,1,0,0,0,0,0,1.0,0.2,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 42 33 33 33 C9 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 68 55,A5 60 9F A5 81 0D 3B 42 33 33 33 C9 33 33 33 33 33 33 33 35 55,PASS,"{'screen_on': 1, 'brightness': 7, 'digital': 22, 'logo': 1, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 0}",2.013,2025-08-27 16:18:28
5,关闭显示，校验全部为0（除 brightness）,1,7,0,1,0,0,0,0,0,1.0,0.2,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 42 33 33 33 B3 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 58 55,A5 60 9F A5 81 0D 3B 42 33 33 33 B3 33 33 33 33 33 33 33 D6 55,PASS,"{'screen_on': 1, 'brightness': 7, 'digital': 0, 'logo': 1, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 0}",2.019,2025-08-27 16:18:31
