case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,recv_ok,read_ok,recv_hex,read_hex,verdict,checks,elapsed_s,timestamp
1,,1,5,0,0,0,0,0,0,0,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 36 33 33 33 3E 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 02 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 33 33 33 33 33 33 6A 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 0}",2.306,2025-08-27 20:28:07
2,,1,5,0,0,0,0,0,0,1,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 33 35 33 33 33 33 33 33 33 33 33 33 33 33 33 A9 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 35 33 33 33 33 33 9B 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 1}",2.335,2025-08-27 20:28:10
3,,1,5,0,0,0,0,0,0,2,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 34 33 37 33 37 33 33 33 3E 33 33 33 33 33 37 33 33 33 33 33 33 33 33 33 33 33 33 33 09 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 37 33 33 33 33 33 3F 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 0, 'ring': 2}",2.318,2025-08-27 20:28:12
4,,1,5,0,0,0,0,0,1,0,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 39 33 33 33 3E 33 33 33 33 B3 33 33 33 33 33 33 33 33 33 33 33 33 33 33 71 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 33 33 33 33 33 33 43 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 0}",2.351,2025-08-27 20:28:14
5,,1,5,0,0,0,0,0,1,1,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 3E 33 33 33 3A 33 33 33 3E 33 33 33 33 B3 35 33 33 33 33 33 33 33 33 33 33 33 33 33 5B 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 35 33 33 33 33 33 B2 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 1}",3.965,2025-08-27 20:28:18
6,,1,5,0,0,0,0,0,1,2,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 B3 37 33 33 33 33 33 33 33 33 33 33 33 33 33 1B 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 37 33 33 33 33 33 16 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 2}",2.337,2025-08-27 20:28:21
7,,1,5,0,0,0,0,0,2,0,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 34 33 37 33 39 33 33 33 3E 33 33 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 17 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 34 33 33 33 33 33 C9 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 2, 'ring': 0}",2.333,2025-08-27 20:28:23
8,,1,5,0,0,0,0,0,2,1,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 33 36 33 33 33 33 33 33 33 33 33 33 33 33 33 42 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 36 33 33 33 33 33 6D 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 2, 'ring': 1}",2.315,2025-08-27 20:28:25
9,,1,5,0,0,0,0,0,2,2,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 33 38 33 33 33 33 33 33 33 33 33 33 33 33 33 66 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 38 33 33 33 33 33 36 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 2, 'ring': 2}",2.387,2025-08-27 20:28:28
10,,1,5,0,0,0,0,1,0,0,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 53 33 33 33 33 33 33 33 33 33 33 33 33 33 33 E6 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 53 33 33 33 33 33 33 FD 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 0, 'ring': 0}",2.354,2025-08-27 20:28:30
11,,1,5,0,0,0,0,1,0,1,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 53 35 33 33 33 33 33 33 33 33 33 33 33 33 33 FC 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 53 35 33 33 33 33 33 0C 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 0, 'ring': 1}",2.339,2025-08-27 20:28:32
12,,1,5,0,0,0,0,1,0,2,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 53 37 33 33 33 33 33 33 33 33 33 33 33 33 33 3D 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 53 37 33 33 33 33 33 A8 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 0, 'ring': 2}",2.345,2025-08-27 20:28:35
13,,1,5,0,0,0,0,1,1,0,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 D3 33 33 33 33 33 33 33 33 33 33 33 33 33 33 D1 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 D3 33 33 33 33 33 33 D4 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 1, 'ring': 0}",2.31,2025-08-27 20:28:37
14,,1,5,0,0,0,0,1,1,1,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 39 33 33 33 3E 33 33 33 33 D3 35 33 33 33 33 33 33 33 33 33 33 33 33 33 3E 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 D3 35 33 33 33 33 33 25 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 1, 'ring': 1}",2.317,2025-08-27 20:28:39
15,,1,5,0,0,0,0,1,1,2,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 D3 37 33 33 33 33 33 33 33 33 33 33 33 33 33 4E 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 D3 37 33 33 33 33 33 81 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 1, 'ring': 2}",2.351,2025-08-27 20:28:42
16,,1,5,0,0,0,0,1,2,0,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 53 34 33 33 33 33 33 33 33 33 33 33 33 33 33 D6 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 53 34 33 33 33 33 33 5E 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 2, 'ring': 0}",2.324,2025-08-27 20:28:44
17,,1,5,0,0,0,0,1,2,1,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 53 36 33 33 33 33 33 33 33 33 33 33 33 33 33 17 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 53 36 33 33 33 33 33 FA 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 2, 'ring': 1}",2.319,2025-08-27 20:28:46
18,,1,5,0,0,0,0,1,2,2,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 34 33 37 33 37 33 33 33 3E 33 33 33 33 53 38 33 33 33 33 33 33 33 33 33 33 33 33 33 16 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 53 38 33 33 33 33 33 A1 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 1, 'turn_right': 2, 'ring': 2}",2.328,2025-08-27 20:28:49
19,,1,5,0,0,0,0,2,0,0,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 73 33 33 33 33 33 33 33 33 33 33 33 33 33 33 A6 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 73 33 33 33 33 33 33 70 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 2, 'turn_right': 0, 'ring': 0}",2.331,2025-08-27 20:28:51
20,,1,5,0,0,0,0,2,0,1,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 73 35 33 33 33 33 33 33 33 33 33 33 33 33 33 BC 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 73 35 33 33 33 33 33 81 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 2, 'turn_right': 0, 'ring': 1}",2.343,2025-08-27 20:28:53
21,,1,5,0,0,0,0,2,0,2,,0.0,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 73 37 33 33 33 33 33 33 33 33 33 33 33 33 33 7D 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 73 37 33 33 33 33 33 25 55,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 0, 'rdygo': 0, 'turn_left': 2, 'turn_right': 0, 'ring': 2}",2.359,2025-08-27 20:28:56
