case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
1,nan,1,5,50,1,0,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.129,2025-08-29 15:12:35
2,nan,1,6,50,1,1,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.189,2025-08-29 15:12:35
3,nan,1,6,50,2,2,2,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.183,2025-08-29 15:12:35
4,nan,1,6,100,0,1,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.192,2025-08-29 15:12:36
5,nan,1,6,100,1,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.204,2025-08-29 15:12:36
6,nan,1,6,100,2,0,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.202,2025-08-29 15:12:36
7,nan,1,7,50,0,0,1,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.178,2025-08-29 15:12:36
8,nan,1,7,50,0,1,1,1,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.192,2025-08-29 15:12:36
9,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.184,2025-08-29 15:12:37
10,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.188,2025-08-29 15:12:37
11,nan,1,7,100,1,0,1,0,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.195,2025-08-29 15:12:37
12,nan,1,7,100,1,0,2,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.173,2025-08-29 15:12:37
13,nan,1,7,100,1,0,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.192,2025-08-29 15:12:37
14,nan,1,7,100,1,2,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.184,2025-08-29 15:12:38
