case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
219,nan,1,5,0,0,2,2,0,0,2,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 38 33 33 33 3E 33 33 33 33 47 37 33 33 33 33 33 33 33 33 33 33 33 33 33 E9 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 47 37 33 33 33 33 33 F2 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 2, 'rdygo': 2, 'turn_left': 0, 'turn_right': 0, 'ring': 2}",2.019,2025-08-29 14:12:46
540,nan,1,5,0,2,0,1,2,2,2,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 38 33 33 33 3E 33 33 33 33 7C 38 33 33 33 33 33 33 33 33 33 33 33 33 33 8A 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 7C 38 33 33 33 33 33 59 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 2, 'rim_state': 0, 'rdygo': 1, 'turn_left': 2, 'turn_right': 2, 'ring': 2}",2.01,2025-08-29 14:12:48
1012,nan,1,5,50,1,0,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.011,2025-08-29 14:12:48
3277,nan,1,6,50,1,1,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
3634,nan,1,6,50,2,2,2,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.005,2025-08-29 14:12:48
3792,nan,1,6,100,0,1,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
3945,nan,1,6,100,1,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
4206,nan,1,6,100,2,0,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
5151,nan,1,7,50,0,0,1,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
5225,nan,1,7,50,0,1,1,1,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
5483,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
5620,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
6111,nan,1,7,100,1,0,1,0,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.0,2025-08-29 14:12:48
6139,nan,1,7,100,1,0,2,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
6141,nan,1,7,100,1,0,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
6276,nan,1,7,100,1,2,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.004,2025-08-29 14:12:48
