case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
2302,nan,1,1,0,0,1,1,0,2,0,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 38 33 33 33 36 33 33 33 33 3D 34 33 33 33 33 33 33 33 33 33 33 33 33 33 90 55,A5 60 9F A5 81 0D 3B 36 33 33 33 33 3D 34 33 33 33 33 33 CA 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 0, 'rim_state': 1, 'rdygo': 1, 'turn_left': 0, 'turn_right': 2, 'ring': 0}",2.453,2025-09-03 11:03:00
2638,nan,1,1,0,1,2,1,2,0,0,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 38 33 33 33 36 33 33 33 B3 7F 33 33 33 33 33 33 33 33 33 33 33 33 33 33 EA 55,A5 60 9F A5 81 0D 3B 36 33 33 33 B3 7F 33 33 33 33 33 33 1F 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 1, 'rim_state': 2, 'rdygo': 1, 'turn_left': 2, 'turn_right': 0, 'ring': 0}",2.475,2025-09-03 11:03:02
2677,nan,1,1,0,2,0,0,0,1,0,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 38 33 33 33 36 33 33 33 33 B4 33 33 33 33 33 33 33 33 33 33 33 33 33 33 BB 55,A5 60 9F A5 81 0D 3B 36 33 33 33 33 B4 33 33 33 33 33 33 AE 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 2, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 0}",2.414,2025-09-03 11:03:05
3000,nan,1,1,50,0,1,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.202,2025-09-03 11:03:05
5106,nan,1,2,50,0,0,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.172,2025-09-03 11:03:06
6739,nan,1,3,0,0,2,0,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.167,2025-09-03 11:03:06
6924,nan,1,3,0,1,1,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-03 11:03:06
7347,nan,1,3,50,0,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.172,2025-09-03 11:03:06
7548,nan,1,3,50,1,0,0,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.191,2025-09-03 11:03:06
7975,nan,1,3,50,2,2,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.173,2025-09-03 11:03:06
8146,nan,1,3,100,0,1,1,2,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.17,2025-09-03 11:03:07
9520,nan,1,4,50,0,0,1,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-03 11:03:07
9922,nan,1,4,50,1,2,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.162,2025-09-03 11:03:07
10023,nan,1,4,50,2,0,2,0,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.161,2025-09-03 11:03:07
10068,nan,1,4,50,2,1,0,2,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-03 11:03:07
10282,nan,1,4,100,0,0,2,2,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.176,2025-09-03 11:03:08
10509,nan,1,4,100,1,0,2,0,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.177,2025-09-03 11:03:08
11108,nan,1,5,0,0,2,0,1,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.167,2025-09-03 11:03:08
11309,nan,1,5,0,1,1,1,2,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.176,2025-09-03 11:03:08
11460,nan,1,5,0,2,0,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.159,2025-09-03 11:03:08
12960,nan,1,5,100,2,0,2,2,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-03 11:03:08
13191,nan,1,6,0,0,0,2,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.157,2025-09-03 11:03:09
13602,nan,1,6,0,1,2,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.158,2025-09-03 11:03:09
14453,nan,1,6,50,2,1,1,0,2,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.158,2025-09-03 11:03:09
14934,nan,1,6,100,1,1,1,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.165,2025-09-03 11:03:09
15192,nan,1,6,100,2,1,1,1,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.174,2025-09-03 11:03:09
15583,nan,1,7,0,1,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.16,2025-09-03 11:03:09
16100,nan,1,7,50,0,0,2,0,2,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.168,2025-09-03 11:03:10
16418,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-03 11:03:10
16485,nan,1,7,50,1,2,1,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-03 11:03:10
16555,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.173,2025-09-03 11:03:10
