case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
1,nan,1,5,50,1,0,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.137,2025-08-29 15:07:49
2,nan,1,6,50,1,1,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-08-29 15:07:49
3,nan,1,6,50,2,2,2,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.202,2025-08-29 15:07:50
4,nan,1,6,100,0,1,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.177,2025-08-29 15:07:50
5,nan,1,6,100,1,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.208,2025-08-29 15:07:50
6,nan,1,6,100,2,0,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.18,2025-08-29 15:07:50
7,nan,1,7,50,0,0,1,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.197,2025-08-29 15:07:50
8,nan,1,7,50,0,1,1,1,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.186,2025-08-29 15:07:51
9,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.202,2025-08-29 15:07:51
10,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.184,2025-08-29 15:07:51
11,nan,1,7,100,1,0,1,0,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.207,2025-08-29 15:07:51
12,nan,1,7,100,1,0,2,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.189,2025-08-29 15:07:51
13,nan,1,7,100,1,0,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.193,2025-08-29 15:07:52
14,nan,1,7,100,1,2,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.181,2025-08-29 15:07:52
