case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,recv_ok,read_ok,recv_hex,read_hex,verdict,checks,elapsed_s,timestamp
1,基本点亮 + 白LOGO + 左右转向橙,1,7,88,1,1,1,2,2,2,1.0,0.2,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 42 33 33 33 0B 7D 38 33 33 33 33 33 33 33 33 33 33 33 33 33 26 55,A5 60 9F A5 81 0D 3B 42 33 33 33 0B 7D 38 33 33 33 33 33 CA 55,PASS,<__main__.ppx_led_msg_t object at 0x000001B9C0ECC0D0>,2.313,2025-08-27 12:24:56
2,关闭显示，校验全部为0（除 brightness）,0,3,0,0,0,0,0,0,0,1.0,0.2,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 34 33 37 33 37 33 33 33 39 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 2A 55,A5 60 9F A5 81 0D 3B 39 33 33 33 33 33 33 33 33 33 33 33 62 55,PASS,<__main__.ppx_led_msg_t object at 0x000001B9C0ECC3D0>,2.365,2025-08-27 12:24:58
3,关闭显示，校验全部为0（除 brightness）,1,7,11,1,0,0,0,0,0,1.0,0.2,PASS,,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 39 33 33 33 42 33 33 33 BE 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 16 55,A5 60 9F A5 81 0D 3B 42 33 33 33 BE 33 33 33 33 33 33 33 C8 55,PASS,<__main__.ppx_led_msg_t object at 0x000001B9C0ECC0D0>,2.384,2025-08-27 12:25:01
