case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
3000,nan,1,1,50,0,1,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.18,2025-09-09 20:01:48
5106,nan,1,2,50,0,0,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.273,2025-09-09 20:01:48
6739,nan,1,3,0,0,2,0,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.26,2025-09-09 20:01:49
6924,nan,1,3,0,1,1,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.308,2025-09-09 20:01:49
7347,nan,1,3,50,0,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.2,2025-09-09 20:01:49
7548,nan,1,3,50,1,0,0,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.181,2025-09-09 20:01:49
7975,nan,1,3,50,2,2,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.17,2025-09-09 20:01:50
8146,nan,1,3,100,0,1,1,2,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.17,2025-09-09 20:01:50
9520,nan,1,4,50,0,0,1,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-09 20:01:50
9922,nan,1,4,50,1,2,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-09 20:01:50
10023,nan,1,4,50,2,0,2,0,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.153,2025-09-09 20:01:50
10068,nan,1,4,50,2,1,0,2,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.155,2025-09-09 20:01:51
10282,nan,1,4,100,0,0,2,2,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.17,2025-09-09 20:01:51
10509,nan,1,4,100,1,0,2,0,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.157,2025-09-09 20:01:51
11108,nan,1,5,0,0,2,0,1,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-09 20:01:51
11309,nan,1,5,0,1,1,1,2,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.17,2025-09-09 20:01:51
11460,nan,1,5,0,2,0,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.156,2025-09-09 20:01:51
12960,nan,1,5,100,2,0,2,2,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.157,2025-09-09 20:01:52
13191,nan,1,6,0,0,0,2,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.174,2025-09-09 20:01:52
13602,nan,1,6,0,1,2,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.182,2025-09-09 20:01:52
14453,nan,1,6,50,2,1,1,0,2,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.156,2025-09-09 20:01:52
14934,nan,1,6,100,1,1,1,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-09 20:01:52
15192,nan,1,6,100,2,1,1,1,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.162,2025-09-09 20:01:52
15583,nan,1,7,0,1,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.168,2025-09-09 20:01:53
16100,nan,1,7,50,0,0,2,0,2,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.176,2025-09-09 20:01:53
16418,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.172,2025-09-09 20:01:53
16485,nan,1,7,50,1,2,1,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.157,2025-09-09 20:01:53
16555,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.166,2025-09-09 20:01:53
20000,nan,1,5,11,0,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.163,2025-09-09 20:01:53
