case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
219,nan,1,5,0,0,2,2,0,0,2,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 38 33 33 33 3E 33 33 33 33 47 37 33 33 33 33 33 33 33 33 33 33 33 33 33 E9 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 47 37 33 33 33 33 33 F2 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 0, 'rim_state': 2, 'rdygo': 2, 'turn_left': 0, 'turn_right': 0, 'ring': 2}",2.348,2025-08-29 12:27:59
540,nan,1,5,0,2,0,1,2,2,2,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 3A 33 33 33 3E 33 33 33 33 7C 38 33 33 33 33 33 33 33 33 33 33 33 33 33 38 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 7C 38 33 33 33 33 33 59 55,1,1,PASS,"{'screen_on': 1, 'brightness': 5, 'digital': 0, 'logo': 2, 'rim_state': 0, 'rdygo': 1, 'turn_left': 2, 'turn_right': 2, 'ring': 2}",2.388,2025-08-29 12:28:02
1012,nan,1,5,50,1,0,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.167,2025-08-29 12:28:02
3277,nan,1,6,50,1,1,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.165,2025-08-29 12:28:02
3634,nan,1,6,50,2,2,2,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.179,2025-08-29 12:28:02
3792,nan,1,6,100,0,1,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.174,2025-08-29 12:28:02
3945,nan,1,6,100,1,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.16,2025-08-29 12:28:03
4206,nan,1,6,100,2,0,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.181,2025-08-29 12:28:03
5151,nan,1,7,50,0,0,1,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.17,2025-08-29 12:28:03
5225,nan,1,7,50,0,1,1,1,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.166,2025-08-29 12:28:03
5483,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.184,2025-08-29 12:28:03
5620,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.161,2025-08-29 12:28:04
6111,nan,1,7,100,1,0,1,0,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.158,2025-08-29 12:28:04
6139,nan,1,7,100,1,0,2,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.184,2025-08-29 12:28:04
6141,nan,1,7,100,1,0,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.211,2025-08-29 12:28:04
6276,nan,1,7,100,1,2,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.178,2025-08-29 12:28:04
