case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
1,nan,1,5,50,1,0,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.152,2025-08-29 15:13:05
2,nan,1,6,50,1,1,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.176,2025-08-29 15:13:06
3,nan,1,6,50,2,2,2,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.189,2025-08-29 15:13:06
4,nan,1,6,100,0,1,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.195,2025-08-29 15:13:06
5,nan,1,6,100,1,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.209,2025-08-29 15:13:06
6,nan,1,6,100,2,0,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.185,2025-08-29 15:13:06
7,nan,1,7,50,0,0,1,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.205,2025-08-29 15:13:07
8,nan,1,7,50,0,1,1,1,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.2,2025-08-29 15:13:07
9,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.171,2025-08-29 15:13:07
10,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.199,2025-08-29 15:13:07
11,nan,1,7,100,1,0,1,0,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.174,2025-08-29 15:13:07
12,nan,1,7,100,1,0,2,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.169,2025-08-29 15:13:08
13,nan,1,7,100,1,0,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.167,2025-08-29 15:13:08
14,nan,1,7,100,1,2,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.211,2025-08-29 15:13:08
